genre,gross,rate,runtime,title,vote,yr,titleClean,cleanTitleSpot
Drama,$26.40M,7.9,155 min,Boogie Nights,213619,1997,Boogie Nights,Boogie Nights
"Action, Adventure, Sci-Fi",$373.59M,7.3,127 min,Spider-Man 2,479255,2004,Spider-Man 2,SpiderMan 2
"Action, Crime, Thriller",$43.22M,7.2,122 min,Point Break,132241,1991,Point Break,Point Break
"Action, Adventure, Sci-Fi",$259.77M,7.8,136 min,Captain America: The Winter Soldier,617354,2014,Captain America: The Winter Soldier,Captain America The Winter Soldier
"Animation, Adventure, Comedy",$341.27M,8.0,108 min,Zootopia,356198,2016,Zootopia,Zootopia
"Adventure, Comedy, Drama",$32.53M,7.9,122 min,Almost Famous,229167,2000,Almost Famous,Almost Famous
"Adventure, Family, Fantasy",$295.98M,7.7,146 min,Harry Potter and the Deathly Hallows: Part 1,399367,2010,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows 
"Action, Adventure",$251.19M,7.6,126 min,Batman,302829,1989,Batman,Batman
"Action, Adventure, Fantasy",$305.41M,8.0,143 min,Pirates of the Caribbean: The Curse of the Black Pearl,933804,2003,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean The Curse of the Black Pearl
Comedy,$70.14M,7.8,103 min,Ferris Bueller's Day Off,279170,1986,Ferris Bueller's Day Off,Ferris Buellers Day Off
"Biography, Drama, Thriller",$91.13M,8.0,114 min,The Imitation Game,588729,2014,The Imitation Game,The Imitation Game
"Crime, Drama, Mystery",$0.75M,7.4,97 min,Irreversible,101385,2002,Irreversible,Irreversible
"Adventure, Biography, Drama",$18.35M,8.1,148 min,Into the Wild,506279,2007,Into the Wild,Into the Wild
"Crime, Drama",$5.32M,8.4,229 min,Once Upon a Time in America,264075,1984,Once Upon a Time in America,Once Upon a Time in America
Drama,$169.71M,8.1,146 min,The Help,377923,2011,The Help,The Help
"Action, Adventure, Sci-Fi",$319.07M,7.1,144 min,Transformers,557135,2007,Transformers,Transformers
"Action, Crime, Thriller",$70.10M,8.1,111 min,Kill Bill: Vol. 1,865859,2003,Kill Bill: Vol. 1,Kill Bill 
"Action, Adventure, Thriller",$304.36M,7.8,143 min,Skyfall,577139,2012,Skyfall,Skyfall
"Action, Comedy, Thriller",$146.28M,7.2,141 min,True Lies,212861,1994,True Lies,True Lies
"Comedy, Horror",$42.07M,7.0,95 min,The Cabin in the Woods,323675,2012,The Cabin in the Woods,The Cabin in the Woods
"Action, Adventure, Fantasy",$206.36M,7.0,112 min,Thor: The Dark World,503201,2013,Thor: The Dark World,Thor The Dark World
"Comedy, Drama, Sci-Fi",$125.62M,8.1,103 min,The Truman Show,799565,1998,The Truman Show,The Truman Show
"Biography, Drama, Music",$119.52M,7.9,136 min,Walk the Line,206458,2005,Walk the Line,Walk the Line
"Crime, Drama, Thriller",$24.61M,8.1,98 min,Fargo,539180,1996,Fargo,Fargo
